NVAR: 56 
VARNAMES: CID CIDint IDSURVEY TYPE FIELD CUTFLAG_SNANA zHD zHDERR z zERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB SIM_TYPE_INDEX SIM_NONIA_INDEX SIM_ZCMB SIM_DLMAG SIM_PKMJD SIMx1 SIMc SIMbeta SIM_x0 SIM_mb SIMZ MWEBV T0GAPMAX delmu RA DECL MU MUMODEL MUERR MUERR_RAW MURES MUPULL ERRCODE SIM_MU SIM_MB 

# SALT2mu fit results: 
#  NSNFIT   = 349    [ true CC/(Ia+CC) = 0.0000) ] 
#  -2log(L) = 323.41    
#  chi2(Ia)/dof = 323.41/348 = 0.986    
#  sigint   = 0.1100  (1 iterations)
#  Omega_L        =      0.69237 +-    0.01293   
#  M0avg          =    -30.00500 
#  m0-M0avg chi2/dof = 0.0 / -1 
 
SN: 31 31 10 101 X2 1 0.57039 0.00100 0.57150 0.00100 -9 -9 7.2318 6.1768 5.4473 56550.020 2.112 -3.74218e-01 1.5252 0.2340 8.25337e-02 23.3121 0.1186 8.49503e-06 9.80191e-07 5.16984e-02 -1.16695e-06 -5.67008e-08 43 46.9037 0.3155 1 0 0.5716 42.6115 56547.785 0.5261 7.16891e-02 3.2000 7.81799e-06 23.4023 0.5716 7.69520e-02 4.4717 -7.41452e-01 43.138042 0.862554  41.8809 42.5994  0.3037  0.2831 -0.719 -2.366 0 42.6115 12.7673 
SN: 32 32 10 101 X1 1 0.38099 0.00100 0.38198 0.00100 -9 -9 32.3714 27.4641 21.5233 56662.617 0.279 0.2926 0.2687 -1.15812e-01 2.87930e-02 21.8003 3.91144e-02 3.41880e-05 1.25410e-06 1.50906e-03 -1.63995e-07 -2.26797e-08 32 24.0443 0.8723 1 0 0.3803 41.5550 56662.660 0.3147 -8.98305e-02 3.2000 3.24047e-05 21.8585 0.3803 3.94090e-02 6.4445 3.81400e-03 41.830219 -1.558764  41.5819 41.5554  0.1385  0.0841  0.026  0.191 0 41.5550 11.2235 
SN: 33 33 10 101 C3 1 0.85083 0.00100 0.85153 0.00100 -9 -9 11.1456 8.0580 5.0752 56568.184 1.161 1.5071 0.7838 0.1892 7.62644e-02 24.8348 5.31758e-02 2.08963e-06 1.04891e-07 1.66361e-02 -5.32463e-08 -2.11976e-09 65 52.5775 0.8848 1 0 0.8497 43.6636 56568.344 1.2047 0.2554 3.2000 1.88410e-06 24.9472 0.8497 7.87700e-03 5.9537 0.1295 53.558117 -27.489241  43.8104 43.6585  0.2692  0.2457  0.152  0.564 0 43.6636 14.3122 
SN: 34 34 10 101 S1 1 0.52927 0.00100 0.52985 0.00100 -9 -9 16.0579 11.0743 9.2246 56582.488 0.451 0.7665 0.5154 4.49682e-02 4.31285e-02 23.0245 5.87007e-02 1.10717e-05 6.15070e-07 5.30996e-03 -2.20502e-07 -1.35160e-08 55 48.6925 0.7129 1 0 0.5305 42.4157 56582.742 1.0663 4.73802e-02 3.2000 1.07840e-05 23.0530 0.5305 9.05700e-03 7.2898 -6.61510e-02 53.699986 -27.425344  42.3579 42.4037  0.1813  0.1441 -0.046 -0.253 0 42.4157 12.4181 
SN: 35 35 10 101 X3 1 0.42863 0.00100 0.42968 0.00100 -9 -9 50.3863 45.5856 29.3749 56675.711 0.241 -1.40086e+00 0.2700 -1.15706e-01 2.98871e-02 22.2057 3.60551e-02 2.35359e-05 7.94701e-07 3.18933e-03 -1.27759e-07 -1.84503e-08 16 6.3141 0.9908 1 0 0.4292 41.8653 56675.707 -1.51964e+00 -1.23288e-01 3.2000 2.12130e-05 22.3185 0.4292 7.78900e-03 4.8880 -1.30133e-01 8.681037 -43.136852  41.7498 41.8571  0.1320  0.0730 -0.107 -0.813 0 41.8653 11.6835 
SN: 36 36 10 101 C2 1 0.42537 0.00100 0.42637 0.00100 -9 -9 18.5926 15.9572 12.3055 56623.500 0.011 0.1538 0.3501 4.77593e-02 3.95123e-02 22.3612 5.70900e-02 2.03943e-05 1.10106e-06 2.00561e-03 -1.63634e-07 -2.86020e-08 47 47.8465 0.4791 1 0 0.4264 41.8485 56624.168 0.7132 -2.14046e-02 3.2000 2.12791e-05 22.3151 0.4264 7.61350e-02 13.3205 -2.60067e-01 43.161083 0.914547  41.5999 41.8375  0.1578  0.1131 -0.238 -1.506 0 41.8485 11.6801 
SN: 37 37 10 101 X3 1 0.58900 0.00100 0.59030 0.00100 -9 -9 17.8637 17.0187 11.8015 57025.430 0.398 -1.76756e+00 0.4110 -1.29813e-02 4.53358e-02 23.3201 4.67336e-02 8.43275e-06 3.70898e-07 4.03152e-03 -9.82722e-08 -8.77310e-09 21 12.5816 0.9226 1 0 0.5882 42.6865 57025.734 -1.10312e+00 -3.18643e-02 3.2000 8.02467e-06 23.3739 0.5882 2.05490e-02 4.3673 -2.23426e-01 35.051388 -4.260362  42.4842 42.6837  0.1774  0.1392 -0.200 -1.125 0 42.6865 12.7389 
SN: 39 39 10 101 C2 1 0.42756 0.00100 0.42872 0.00100 -9 -9 36.0965 26.2410 19.7845 56595.492 0.452 2.1060 0.4163 4.32975e-02 3.16737e-02 22.4328 4.22790e-02 1.90926e-05 7.58141e-07 2.16112e-03 -1.84077e-07 -1.44830e-08 48 31.4383 0.9690 1 0 0.4283 41.8600 56595.121 1.9043 6.18891e-02 3.2000 1.92060e-05 22.4264 0.4283 2.32670e-02 5.6049 8.49920e-02 35.613129 -5.272068  41.9591 41.8507  0.1530  0.1064  0.108  0.708 0 41.8600 11.7914 
SN: 40 40 10 101 S2 1 0.25067 0.00100 0.25166 0.00100 -9 -9 116.5178 89.2362 79.2827 56984.109 0.228 1.6848 0.1716 -2.01682e-01 2.46890e-02 20.1497 3.32204e-02 1.56357e-04 4.85801e-06 -8.97908e-05 -2.58428e-07 -8.50131e-08 43 8.9183 1 1 0 0.2526 40.5274 56984.137 1.6002 -1.73824e-01 3.2000 1.26222e-04 20.3822 0.2526 2.66080e-02 8.7571 -1.29046e-01 36.984222 -4.529782  40.4010 40.5057  0.1306  0.0703 -0.105 -0.802 0 40.5274  9.7472 
SN: 41 41 10 101 S1 1 0.43605 0.00100 0.43723 0.00100 -9 -9 32.1985 26.7519 19.2209 56971.082 0.310 1.2731 0.2998 -6.87585e-02 2.82661e-02 22.1236 3.79182e-02 2.53848e-05 9.02202e-07 2.33508e-03 -1.67572e-07 -1.64937e-08 51 34.7094 0.9688 1 0 0.4369 41.9113 56971.309 1.3015 -3.85613e-02 3.2000 2.27887e-05 22.2407 0.4369 2.42660e-02 6.8845 -3.29890e-02 34.922546 -6.037586  41.8918 41.9013  0.1378  0.0831 -0.009 -0.069 0 41.9113 11.6057 
SN: 42 42 10 101 C2 1 0.46373 0.00100 0.46490 0.00100 -9 -9 23.3121 18.1577 15.8952 56564.094 0.124 -2.35595e-01 0.2597 -8.99480e-02 2.46843e-02 22.5642 3.23364e-02 1.69163e-05 5.11396e-07 6.69230e-04 -5.18988e-08 -6.52520e-09 56 39.3117 0.9557 1 0 0.4650 42.0729 56564.230 -1.91847e-02 -7.07448e-02 3.2000 1.82110e-05 22.4842 0.4650 2.62690e-02 5.4371 0.1055 36.531101 -4.419214  42.1891 42.0602  0.1358  0.0797  0.129  0.949 0 42.0729 11.8492 
SN: 44 44 10 101 X2 1 0.68586 0.00100 0.68707 0.00100 -9 -9 7.2860 6.5358 6.4156 57021.461 1.271 2.2071 1.2212 0.1833 7.82062e-02 23.6941 9.05951e-02 5.97541e-06 5.19987e-07 3.41536e-02 -5.09311e-07 -2.03347e-08 36 25.6998 0.9189 1 0 0.6847 43.0883 57020.133 0.9874 5.20493e-02 3.2000 5.66683e-06 23.7516 0.6847 8.00500e-03 4.1492 -3.22430e-01 10.369045 -43.894325  42.7865 43.0853  0.2908  0.2692 -0.299 -1.027 0 43.0883 13.1166 
SN: 45 45 10 101 S1 1 0.28974 0.00100 0.29078 0.00100 -9 -9 69.5922 65.1885 52.3811 56589.359 0.212 1.6701 0.2113 -1.02365e-01 2.68775e-02 20.8904 3.79758e-02 7.90418e-05 2.81356e-06 5.53445e-04 -3.02611e-07 -5.36324e-08 43 26.0236 0.9858 1 0 0.2913 40.8817 56589.348 1.4640 -1.16037e-01 3.2000 7.54789e-05 20.9404 0.2913 2.28080e-02 8.6400 -6.71120e-02 35.906193 -5.806818  40.8217 40.8649  0.1340  0.0766 -0.043 -0.322 0 40.8817 10.3054 
